percentage,f1,auc
0.0,0.69921875,0.891294744333557
0.1,0.7152777777777778,0.9487591464074645
0.2,0.6738131699846859,0.9752356958846579
0.30000000000000004,0.5074971164936563,0.9590211179182995
0.4,0.42995169082125606,0.8650438107505466
0.5,0.42995169082125606,0.8650438107505466
0.6000000000000001,0.40891472868217055,0.9257480164743574
0.7000000000000001,0.3981220657276996,0.9255555495421385
0.8,0.3872146118721461,0.9232824778646114
0.9,0.40380952380952384,0.9266920853809019
1.0,0.3872146118721461,0.9232824778646114
