Smell,DT,RF,SVM,GBM,LR,MLP,KNN
GC,0.71,0.72,0.00,0.72,0.64,0.00,0.70
RB,0.10,0.09,0.00,0.09,0.05,0.00,0.08
FE,0.00,0.19,0.00,0.00,0.08,0.00,0.16
LM,0.29,0.33,0.00,0.31,0.33,0.00,0.41
