percentage,f1,auc
0.0,0.6453089244851259,0.8092767708310783
0.1,0.7243243243243244,0.938810737016431
0.2,0.6829268292682927,0.9258315653886953
0.30000000000000004,0.5891238670694865,0.9168559765548894
0.4,0.5261669024045262,0.8926751618210551
0.5,0.5296442687747035,0.9233538496092482
0.6000000000000001,0.4689655172413793,0.9218672201415798
0.7000000000000001,0.46311010215664006,0.9210337605264866
0.8,0.4531590413943355,0.9274619531097784
0.9,0.4461045891141943,0.9283302529604053
1.0,0.42613065326633165,0.9308593834563679
