percentage,f1,auc
0.0,0.7787610619469025,0.8889171519494296
0.1,0.784394250513347,0.9208839136882211
0.2,0.7744510978043913,0.9267468826445566
0.30000000000000004,0.7874015748031497,0.9400639707314961
0.4,0.7749510763209393,0.9352208397376225
0.5,0.7686274509803922,0.9306807849674192
0.6000000000000001,0.7805825242718447,0.9418414992531335
0.7000000000000001,0.7683397683397682,0.9369983682592601
0.8,0.7630057803468208,0.9346146872902821
0.9,0.7745664739884394,0.9415384230294633
1.0,0.7475915221579961,0.9253830396380405
