percentage,f1,auc
0.0,0.07333994053518335,0.5192256997113079
0.1,0.0,0.5
0.2,0.2351057014734145,0.6766848046651259
0.30000000000000004,0.22357939458311202,0.699889024088375
0.4,0.2079386558412269,0.7154369849667126
0.5,0.19883040935672514,0.7203784172449622
0.6000000000000001,0.18365438563680567,0.7235589231900618
0.7000000000000001,0.17666725321133203,0.7265263730143425
0.8,0.16691260862436466,0.7266780316985628
0.9,0.16325244248345414,0.7293456810600152
1.0,0.1618974751338944,0.7335758439134327
